amenity	courthouse	1734	BLDG 	building
amenity	prison	667	BLDG 	building
amenity	arts_centre	475	BLDG 	building
natural	glacier	424	GLCR 	glacier
historic	pa	277	HSTS 	historical site
natural	hills	268	HLLS 	hills
natural	heath	253	PLN  	plain
natural	peaks	181	MTS  	mountains
natural	cave_entrance	175	CAVE 	cave
place	census-designated	138	PPL  	populated place
natural	crater	135	CRTR 	crater
place	comunidad	127	PPL  	populated place
man_made	lookout_tower	127	TOWR 	tower
boundary	political	115	PPL  	populated place
tourism	artwork	115	PRK  	park
natural	geyser	114	SPNG 	spring
man_made	works	109	BLDG 	building
amenity	cemetery	107	CMTY 	cemetery
natural	cape	99	CAPE 	cape
amenity	college	75	SCH  	school
place	township	70	PPL  	populated place
man_made	well	67	WLL  	well
place	zona urbana	66	PPL  	populated place
natural	sand	66	SAND 	sand area
tourism	motel	66	HTL  	hotel
amenity	hospital	64	PPL  	populated place
natural	valley	59	VAL  	valley
place	sea	58	SEA  	sea
amenity	dentist	57	BLDG 	building
amenity	doctors	57	HSP  	hospital
landuse	conservation	50	PRK  	park
place	FIXME	47	PPL  	populated place
landuse	cemetery	44	PPL  	populated place
man_made	monitoring_station	43	PPL  	populated place
place	neighborhood	39	PPLX 	section of populated place
place	neighbourhood	35	AREA 	area
natural	strait	33	STRT 	strait
natural	C3022	32	MT   	mountain
man_made	water_tower	32	TOWR 	tower
amenity	library	31	PPL  	populated place
aeroway	terminal	31	AIRP 	airport
aeroway	runway	31	AIRP 	airport
amenity	theatre	30	THTR 	theater
amenity	embassy	29	DIP  	diplomatic facility
amenity	parking;fuel	28	PPL  	populated place
leisure	playground	28	PPL  	populated place
natural	waterfall	28	OVF  	overfalls
historic	memorial	28	PPL  	populated place
historic	monument	27	MNMT 	monument
natural	channel	27	CHN  	channel
natural	ridge	27	RDGE 	ridge
amenity	pharmacy	27	PPLX 	section of populated place
man_made	mast	26	TOWR 	tower
place	municipality	26	PPL  	populated place
place	unincorporated_area	26	PPL  	populated place
natural	sea	25	GULF 	gulf
landuse	mine	24	BLDG 	building
leisure	common	23	PRK  	park
boundary	postal_code	23	PPL  	populated place
building	yes	22	HSP  	hospital
amenity	kindergarten	22	SCH  	school
tourism	cabin	22	FRM  	farm
tourism	cabin	22	HUT  	hut
amenity	grave_yard	21	PRK  	park
amenity	bank	21	BLDG 	building
natural	land	21	PPL  	populated place
amenity	grave_yard	21	PPL  	populated place
place	archipelago	20	ISLS 	islands
natural	island	19	ISLS 	islands
amenity	cafe	19	FRM  	farm
landuse	farmyard	19	PPL  	populated place
amenity	recycling	19	PPL  	populated place
natural	point	19	CAPE 	cape
natural	oilfield	19	OILF 	oilfield
leisure	sports_centre	19	PPL  	populated place
